ticker,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
indicator,sma,ema,rsi,macd,bollinger_bands,stochastic,adx,sma,ema,rsi,macd,bollinger_bands,stochastic,adx
Datetime,,,,,,,,,,,,,,
2026-01-14 05:30:00+00:00,-1,-1,0,0,0,0,,-1,-1,0,0,0,0,
2026-01-14 06:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 07:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 08:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 09:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 10:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 11:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 12:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 13:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,-1,0,0,0,
2026-01-14 14:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,0,0,0,0,
2026-01-14 15:30:00+00:00,-1,-1,0,0,0,0,,-1,-1,0,0,0,0,
2026-01-14 16:30:00+00:00,-1,-1,1,0,0,0,,-1,-1,0,0,0,0,
2026-01-14 17:30:00+00:00,-1,-1,0,0,0,0,,-1,-1,0,0,0,0,
2026-01-14 18:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-14 19:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,-1,
2026-01-14 20:30:00+00:00,-1,-1,0,0,0,1,,-1,-1,0,0,0,-1,
2026-01-14 21:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,-1,
2026-01-14 22:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-14 23:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-15 00:30:00+00:00,1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-15 01:30:00+00:00,1,-1,0,0,0,1,,-1,-1,0,0,0,1,
2026-01-15 02:30:00+00:00,1,-1,0,0,0,1,,-1,-1,0,0,0,-1,
2026-01-15 03:30:00+00:00,-1,-1,0,0,0,1,,-1,-1,0,0,0,-1,
2026-01-15 04:30:00+00:00,-1,-1,0,0,0,1,,-1,-1,0,0,0,1,
2026-01-15 05:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-15 06:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,-1,
2026-01-15 07:30:00+00:00,-1,-1,0,0,0,1,,-1,-1,0,0,0,1,
2026-01-15 08:30:00+00:00,-1,-1,0,0,0,-1,,-1,-1,0,0,0,1,
2026-01-15 09:30:00+00:00,-1,-1,0,0,0,-1,,1,-1,0,0,0,1,
2026-01-15 10:30:00+00:00,-1,-1,0,0,0,-1,,1,-1,0,0,0,-1,
2026-01-15 11:30:00+00:00,-1,-1,0,0,0,1,,1,-1,0,0,0,1,
2026-01-15 12:30:00+00:00,-1,-1,0,0,0,-1,,1,-1,0,0,0,1,
2026-01-15 13:30:00+00:00,-1,-1,0,0,0,1,,1,1,0,0,0,1,
2026-01-15 14:30:00+00:00,-1,-1,0,-1,0,1,,1,-1,0,1,0,-1,
2026-01-15 15:30:00+00:00,-1,-1,0,-1,0,1,,1,-1,0,1,0,-1,
2026-01-15 16:30:00+00:00,-1,-1,0,-1,0,-1,,1,-1,0,1,0,1,
2026-01-15 17:30:00+00:00,-1,-1,0,-1,1,-1,,1,1,0,1,0,1,
2026-01-15 18:30:00+00:00,-1,-1,1,-1,1,-1,,1,1,0,1,-1,1,
2026-01-15 19:30:00+00:00,-1,-1,1,-1,1,1,,1,1,0,1,0,-1,
2026-01-15 20:30:00+00:00,-1,-1,1,-1,1,1,,1,1,0,1,0,-1,
2026-01-15 21:30:00+00:00,-1,-1,1,-1,0,1,,1,1,0,1,0,-1,
2026-01-15 22:30:00+00:00,-1,-1,0,-1,0,1,,1,1,0,1,0,-1,
2026-01-15 23:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,-1,0,-1,Strong Trend
2026-01-16 00:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,-1,0,-1,0,1,Strong Trend
2026-01-16 01:30:00+00:00,-1,-1,0,-1,0,-1,Strong Trend,1,1,0,1,0,1,Developing Trend
2026-01-16 02:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,1,Developing Trend
2026-01-16 03:30:00+00:00,-1,-1,0,-1,0,1,Strong Trend,1,1,0,1,0,-1,Developing Trend
2026-01-16 04:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,1,0,1,0,-1,sideways
2026-01-16 05:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,1,0,1,0,1,sideways
2026-01-16 06:30:00+00:00,-1,-1,0,1,0,1,Strong Trend,-1,1,0,1,0,-1,sideways
